Age,Beg.,Nov.,Int.,Adv.,Elite
15,15.88,26.76,40.37,57.15,75.75
20,18.14,30.39,46.27,65.32,86.64
25,19.05,31.3,47.63,67.13,88.9
30,19.05,31.3,47.63,67.13,88.9
35,19.05,31.3,47.63,67.13,88.9
40,19.05,31.3,47.63,67.13,88.9
45,17.69,29.48,44.91,63.5,84.37
50,16.78,27.67,42.18,59.87,79.38
55,15.42,25.85,39.01,55.34,73.48
60,14.06,23.59,35.83,50.35,67.13
65,12.7,21.32,32.21,45.81,60.33
70,11.34,19.05,29.03,40.82,54.43
75,10.43,16.78,25.85,36.74,48.53
80,9.07,15.42,23.13,32.66,43.54
85,8.16,13.61,20.87,29.48,39.01
90,7.26,12.25,18.6,26.31,34.93
