exercise_name,gymvisual_name,gif_filename
Landmine Row,Lever Bent-over Row with V-bar (plate loaded),Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back_converted.gif
Pendlay Row,Barbell Pendlay Row,Barbell-Pendlay-Row_Back__converted.gif
Plate-Loaded High Row,Lever High Row (plate loaded),Lever-High-Row-(plate-loaded)-(VERSION-2)_Back_converted.gif
Plate-Loaded Low Row,Lever Low Row (plate loaded),Lever-Low-Row-(plate-loaded)_Back__converted.gif
Renegade Row,Dumbbell Renegade Row,Dumbbell-Renegade-Row_Back-FIX__converted.gif
Seal Row,Barbell Lying Seal Row on Rack,Barbell-Lying-Seal-Row-on-Rack_Back__converted.gif
Seated Cable Row,Cable seated row,Cable-Seated-Row_Back-FIX__converted.gif
Seated Machine Row,Lever Seated Row,Lever-Seated-Row-(version-2)_Back_converted.gif
T-Bar Row,Lever T bar Row (plate loaded),Lever-T-bar-Row-(plate-loaded)_Back_converted.gif
Medicine Ball Russian Twist,Russian Twist (with medicine ball),Russian-Twist-(with-medicine-ball)_Waist-FIX__converted.gif
Russian Twist,Russian Twist,Russian-Twist-(with-medicine-ball)_Waist-FIX__converted.gif
Dumbbell Side Bend,Dumbbell Side Bend,Dumbbell-Side-Bend_Waist-FIX__converted.gif
Back Squat,Barbell High Bar Squat,Barbell-High-Bar-Squat_Thighs__converted.gif
Barbell Bulgarian Split Squat,Barbell Single Leg Split Squat,Barbell-Single-Leg-Split-Squat_Hips__converted.gif
Dumbbell Bulgarian Split Squat,Dumbbell Bulgarian Split Squat (female),Dumbbell-Bulgarian-Split-Squat-with-Support-(male)_converted.gif
Goblet Bulgarian Split Squat,Dumbbell Goblet Bulgarian Split Squat,Dumbbell-Goblet-Bulgarian-Split-Squat_Thighs__converted.gif
Barbell Hack Squat,Barbell Hack Squat,Barbell-Hack-Squat_Hips-FIX__converted.gif
Barbell Split Squat,Barbell Split Squat,Barbell-Split-Squat-(VERSION-2)_Hips__converted.gif
Belt Squat,Lever Belt Squat,Lever-Belt-Squat_Thighs__converted.gif
Box Squat,Barbell Box Squat,Barbell-Box-Squat_Hips__converted.gif
Dumbbell Cossack Squat,Dumbbell Cossack Squats (male),Dumbbell-Cossack-Squats-(VERSION-2)-(male)_Thighs__converted.gif
Dumbbell Front Squat,Dumbbell Front Squat,Dumbbell-Front-Squat_Thighs-FIX__converted.gif
Dumbbell Split Squat,Dumbbell Split Squat,Dumbbell-Split-Squat_Thighs__converted.gif
Dumbbell Squat,Dumbbell Squat,Dumbbell-Squat_Thighs_converted.gif
Front Squat,Barbell Clean grip Front Squat,Barbell-Clean-grip-Front-Squat_Thighs-FIX__converted.gif
Goblet Squat,Dumbbell Goblet Squat,Dumbbell-Goblet-Squat_Thighs-FIX__converted.gif
Jefferson Squat,Barbell Jefferson Squat,Barbell-Jefferson-Squat_Thighs-FIX__converted.gif
Landmine Front Squat,Landmine Front Squat,Landmine-Front-Squat_Thighs__converted.gif
Machine Hack Squat,Sled Hack Squat,Sled-Hack-Squat_Hips_converted.gif
Pendulum Squat,Lever Pendulum Squat (plate loaded),Lever-Pendulum-Squat-(plate-loaded)_Thighs__converted.gif
V-Squat,Lever Squat (plate loaded),Lever-Squat-(plate-loaded)_Thighs_converted.gif
Pistol Squat,Single Leg Squat (pistol)male,Single-Leg-Squat-(pistol)-male_Thighs_converted.gif
Safety Bar Squat,Safety Bar Front Squat,Safety-Bar-Front-Squat_Thighs__converted.gif
Single-Leg Squat,Bodyweight Single Leg Squat (male),Bodyweight-Single-Leg-Squat-(male)_Thighs__converted.gif
Sissy Squat,Bodyweight Standing Sissy Squat,Bodyweight-Standing-Sissy-Squat_Thighs__converted.gif
Smith Machine Squat,Smith Full Squat,Smith-Full-Squat_Thighs__converted.gif
Squat Thrust,Squat Thrust,Squat-Thrust_Waist_converted.gif
Barbell Sumo Squat,Barbell sumo squat,Barbell-sumo-squat_Thighs_converted.gif
Zercher Squat,Barbell full Zercher Squat,Barbell-full-Zercher-Squat_Thighs_converted.gif
Dumbbell Thruster,Dumbbell Thruster,Dumbbell-Thruster_Thighs_converted 2.gif
Barbell Thruster,Barbell Thruster,Barbell-Thruster_Weightlifting__converted.gif
Dumbbell Tricep Kickback,Dumbbell Kickback,Dumbbell-Kickback_Upper-Arms_converted.gif
Lying Barbell Tricep Extension,Barbell Lying Triceps Extension,EZ-Barbell-Lying-Triceps-Extension-(male)_Upper-Arms__converted.gif
Lying Dumbbell Tricep Extension,Dumbbell Lying Triceps Extension,Dumbbell-Lying-Triceps-Extension_Upper-Arms-FIX__converted.gif
Lying EZ-Bar Tricep Extension,EZ Barbell Lying Triceps Extension (male),EZ-Barbell-Lying-Triceps-Extension-(male)_Upper-Arms__converted.gif
Machine Tricep Extension,Lever Triceps Extension (VERSION 2),Lever-Triceps-Extension-(VERSION-2)_Upper-Arms-FIX_converted.gif
Overhead Straight Bar Triceps Extension,Cable Overhead Tricep Extension Straight Bar (male),Cable-Overhead-Tricep-Extension-Straight-Bar-(male)_Upper-Arms__converted.gif
Overhead Rope Tricep Extension,Cable High Pulley Overhead Tricep Extension,Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_converted.gif
Reverse-Grip Tricep Pushdown,Cable Reverse Grip Triceps Pushdown (SZ-bar),Cable-Reverse-Grip-Triceps-Pushdown-(SZ-bar)_Upper-arms_converted.gif
Seated Dumbbell Tricep Extension,Dumbbell Seated Triceps Extension,Dumbbell-Seated-Triceps-Extension_Upper-Arms_converted.gif
Single-Arm Cable Tricep Extension,Cable Standing One Arm Triceps Extension,Cable-Standing-One-Arm-Triceps-Extension_Upper-Arms_converted.gif
Standing Dumbbell Tricep Extension,Dumbbell Standing Triceps Extension,Dumbbell-Standing-Triceps-Extension_Upper-Arms_converted.gif
Tate Press,Dumbbell Tate Press,Dumbbell-Tate-Press_Triceps_converted.gif
Tricep Pushdown With Bar,Cable Pushdown,Cable-Pushdown-(with-rope-attachment)_Upper-Arms-FIX__converted.gif
Tricep Pushdown With Rope,Cable Pushdown (with rope attachment),Cable-Pushdown-(with-rope-attachment)_Upper-Arms-FIX__converted.gif
Wall Sit,Wall sit (narrow stance) (male),Wall-sit-(narrow-stance)-(male)_Thighs__converted.gif
Weighted Wall Sit,Dumbbell Goblet Wall Sit (male),Dumbbell-Goblet-Wall-Sit-(male)_Thighs__converted.gif
Burpees,Burpee,Burpee_Cardio-FIX__converted.gif
Cable Pull Through,Cable Pull Through (with rope),Cable-pull-through_hips_converted.gif
Cable Anti-Rotation Chop,Cable Kneeling High Low Anti Rotation Chop (male),Cable-Kneeling-High-Low-Anti-Rotation-Chop-(male)__converted.gif
Good Morning,Barbell Good Morning,Barbell-Good-Morning_Thighs-FIX__converted.gif
Kettlebell Halo,Kettlebell Half Kneeling Halo (male),Kettlebell-Half-Kneeling-Halo-(male)_Shoulders__converted.gif
Kettlebell Swing,Kettlebell Swing,Kettlebell-Swing_Hips-FIX2__converted.gif
Medicine Ball Slam,Medicine Ball Overhead Slam,Medicine-Ball-Overhead-Slam_Back__converted.gif
Mountain Climbers,Mountain Climber,Mountain-Climber_Cardio-FIX__converted.gif
Pallof Press,Cable horizontal Pallof Press,Cable-horizontal-Pallof-Press_waist_converted.gif
Plate Pinch,Plate Pinch,Plate-Pinch_Forearms__converted.gif
Rotary Torso Twist,Lever Seated Twist,Lever-Seated-Twist_Waist-FIX__converted.gif
Stability Ball Pike Push-Up,Exercise Ball Pike Pushup,Exercise-Ball-Pike-Pushup_Chest__converted.gif
Step Up,Bodyweight Step-up on Stepbox,Bodyweight-Step-up-on-Stepbox_Thighs__converted.gif
Superman,Superman (male),Superman-(male)_Waist_converted.gif
Sitting Tibialis Raise,Sitting Floor Tibialis Raise (male),Sitting-Floor-Tibialis-Raise-(male)_Stretching__converted.gif
Smith Machine Reverse Calf Raise,Smith Reverse Calf Raises,Smith-Reverse-Calf-Raises_Calves_converted.gif
Wrist Roller,Wrist Roller,Wrist-Roller_Forearms__converted.gif
Plate Neck Flexion,Weighted Lying Neck Flexion,Weighted-Lying-Neck-Flexion_neck_converted.gif
Plate Neck Extension,Weighted Lying Neck Extension,Weighted-Lying-Neck-Extension-(with-head-harness)__converted.gif
Cable Seated Neck Extension,Cable Seated Neck Extension (with head harness),Cable-Seated-Neck-Extension-(with-head-harness)_Neck_converted.gif
Weighted Seated Neck Extension,Weighted Seated Neck Extension (with head harness),Weighted-Seated-Neck-Extension-(with-head-harness)_Neck_converted.gif
Weighted Lying Neck Extension,Weighted Lying Neck Extension (with head harness),Weighted-Lying-Neck-Extension-(with-head-harness)__converted.gif
Prone Neck Extension Hold,Prone Cervical Extension Isometric Hold,Prone-Cervical-Extension-Isometric-Hold_Neck__converted.gif
Prone Neck Extension,Prone Cervical Extension,Prone-Cervical-Extension_Neck__converted.gif
Suitcase Carry,Dumbbell Suitcase Carry,Dumbbell-Suitcase-Carry_Thighs__converted.gif
Sled Push,Power Sled Push (male),Power-Sled-Push-(male)_converted.gif
Plate-Loaded Incline Chest Press,Leverage Incline Chest Press,
Dumbbell Hang Clean,Dumbbell Hang Clean,
Dumbbell High Pull,Dumbbell High Pull,
Hang Power Clean,Barbell Hang Power Clean,
High Pull,Barbell High Pull (male),
Muscle Snatch,Barbell Muscle Snatch,
Squat Jerk,Squat Jerk,
Glute Bridge,Glute Bridge Two Legs on Floor,
Neutral-Grip Pull-Up,Shoulder Width Neutral Grip Pull-up,
Weighted Muscle-Up,Weighted Muscle-up (on bar),
Sit-Up,Sit Up (VERSION 2),
Side Crunch,Side Crunch,
Bradford Press,Barbell Standing Bradford Press,
Landmine Press,Landmine Half Kneeling Shoulders Press,
Overhead Pin Press,Barbell Standing Shoulder Pin Press,
Viking Press,StrongMan Viking Press,
Band External Rotation,Band standing external shoulder rotation,
Seated Dumbbell External Rotation,Dumbbell Seated External Shoulder Rotation,
Cable Lateral Raise,Cable Lateral Raise,
Plate Front Raise,Weighted Plate Standing High Front Raise,
Y Raise,Dumbbell Full Can Lateral Raise,
Power Shrug,Barbell Power Shrug,
Dumbbell Walking Calf Raise,Dumbbell Walking Calf Raise,
Single-Leg Seated Calf Raise,Lever seated one leg calf raise,
Seated Banded Calf Raise,Resistance Band Calf Raise,
Elliptical Stride,Walking on Elliptical Machine (VERSION 7) (female),
Reverse Wrist Curl,Barbell Revers Wrist Curl (VERSION 2),
Single-Arm Plate Wrist Curl,Weighted Seated One Arm Wrist Curl,
Cable Concentration Curl,Cable Concentration Curl,
Behind the Back Deadlift,Barbell Behind The Back Deadlift,
Jefferson Deadlift,Barbell Jefferson Deadlift,
Zercher Deadlift,Barbell Zercher Deadlift,
Single-Arm Dead Hang,Alternating Dead Hang (male),
Lever Side Hip Adduction,Lever Side Hip Adduction,
Hip Airplane,Warrior III Pose (female),
Standing Leg Curl,Lever Standing Leg Curl,
Leg Press,Sled 45 Leg Press,
Vertical Leg Press,Sled Vertical Leg Press,
L-Sit,L-sit,
Scissor Kicks,Lying Scissor Kick,
Chest-Supported Dumbbell Row,Dumbbell Row with Chest Supported,
Chest-Supported T-Bar Row,Lever Lying Banded T bar Row,
Dumbbell Bench Pull,Dumbbell Lying Row on Rack,
Dumbbell Rear Delt Row,Dumbbell Seated Bent Over Rear Delt Row,
Seated Single-Arm Cable Row,Cable Seated Single Arm Lats Focused Row,
Roman Chair Side Bend,45 degrees Side Bend (male),
Bodyweight Squat,Squat m,
Overhead Squat,Barbell Overhead Squat,
Pin Squat,Barbell Pin Squat,
Bent-Over Dumbbell Tricep Extension,Dumbbell Standing Bent Over Two Arm Triceps Extension,
Cable Tricep Kickback,Cable Two Arm Tricep Kickback,
Standing Barbell Tricep Extension,Barbell Standing Overhead Triceps Extension,
Frog Pump,Bodyweight Frog Pump,
Kettlebell Seated Tibialis Press,Kettlebell Sitting Tibialis Press,
Cable Seated Tibialis Press,Seated Tibialis Anterior Press (female),
Band Seated Tibialis Press,Resistance Band Sitting Floor Tibialis Press,
Barbell Standing Rocking Calf Raise,Barbell Standing Rocking Leg Calf Raise,
Machine Neck Extension,Lever Neck Extension (plate loaded),
Prone Neck Bridge,Neck Bridge Prone,
Plate Lying Neck Head Twist,Weighted Lying Neck Head Twist,
Chin Tuck,Chin Tuck,
Farmer's Walk,StrongMan Barbell Farmers Walk,
Dumbbell Overhead Carry,Dumbbell Overhead Carry,
Sled Pull,Power Sled Pull (male),
