exercise_name,gymvisual_name,gif_filename
Snatch,Barbell Snatch,Barbell-Snatch_Weightlifts__converted.gif
Snatch Pull,Snatch Pull,Snatch-Pull_Weightlifting__converted.gif
Power Jerk,Barbell Power Jerk,Barbell-Power-Jerk_Weightlifts__converted.gif
Split Jerk,Barbell Split Jerk,Barbell-Split-Jerk_Weightlifts__converted.gif
Band Pull-Apart,Resistance Band Pull Apart,Resistance-Band-Pull-Apart_Shoulders__converted.gif
Cable Chest Fly,Cable Middle Fly,Cable-Middle-Fly_Chest-FIX__converted.gif
High to Low Cable Chest Fly,Cable Standing Fly,Cable-Standing-Fly_Chest_converted.gif
Low to High Cable Chest Fly,Cable Low Fly,Cable-Low-Fly_Chest-FIX2__converted.gif
Cable Reverse Fly,Cable 45 degrees Reverse Fly (male),Cable-45-degrees-Reverse-Fly-(male)_Shoulders__converted.gif
Dumbbell Chest Fly,Dumbbell Fly,Dumbbell-Fly_Chest-FIX2__converted.gif
Incline Dumbbell Chest Fly,Dumbbell Incline Fly,Dumbbell-Incline-Fly_Chest-FIX2__converted.gif
Decline Dumbbell Chest Fly,Dumbbell Decline Fly,Dumbbell-Decline-Fly_Chest-FIX__converted.gif
Reverse Dumbbell Fly,Dumbbell Reverse Fly,Dumbbell-Reverse-Fly_Shoulders-FIX__converted.gif
Machine Chest Fly,Lever Seated Fly,Lever-Seated-Fly_Chest-FIX__converted.gif
Machine Reverse Fly,Lever Seated Reverse Fly,Lever-Seated-Reverse-Fly_Shoulders-FIX__converted.gif
Pec Deck Fly,Lever Pec Deck Fly,Lever-Pec-Deck-Fly_Chest__converted.gif
Banded Chest Fly,Band Chest Fly (male),Band-Chest-Fly-(male)_Chest-FIX__converted.gif
Hip Thrust,Hip Thrusts,Hip-Thrusts_Hips__converted.gif
Single-Leg Hip Thrust,Single Leg Hip Thrusts,Single-Leg _Hip-Thrusts_Hips__converted.gif
Barbell Hip Thrust,Barbell Hip Thrust,Barbell-Hip-Thrust_Hips-FIX__converted.gif
Banded Hip Thrust,Resistance Band Hip Thrusts,Resistance-Band-Hip-Thrusts_Hips__converted.gif
Single-Leg Glute Bridge,Single Straight Leg Glute Bridge Hold (left) (female),Single-Straight-Leg-Glute-Bridge-Hold-(male)_Hips__converted.gif
