exercise_name,gymvisual_name
Dumbbell Front Raise,Dumbbell Front Raise
Plate Front Raise,Weighted Plate Standing High Front Raise
Y Raise,Dumbbell Full Can Lateral Raise
Dumbbell Face Pull,Dumbbell Bent Over Face Pull
Face Pull,Cable Standing Face Pull (with rope)
Barbell Shrug,Barbell Shrug
Behind the Back Barbell Shrug,Barbell Behind The Back Shrug
Cable Shrug,Cable Shrug
Dumbbell Shrug,Dumbbell Shrug
Trap Bar Shrug,Trap Bar Standing Shrug (male)
Machine Shrug,Lever Shrug (plate loaded)
Power Shrug,Barbell Power Shrug
Smith Machine Shrug,Smith Shrug
Ab Wheel Roll-Out,Wheel Rollout
Stability Ball Roll-Out,Stability Ball Rollout on Knees (male)
Barbell Calf Raise,Barbell Standing Leg Calf Raise
Bodyweight Calf Raise,Bodyweight Standing Calf Raise
Donkey Calf Raise,Lever Donkey Calf Raise
Dumbbell Calf Raise,Dumbbell Standing Calf Raise
Dumbbell Walking Calf Raise,Dumbbell Walking Calf Raise
Leg Press Calf Raise,Sled Calf Press On Leg Press
Seated Calf Raise,Lever Seated Calf Raise (plate loaded)
Single-Leg Seated Calf Raise,Lever seated one leg calf raise
Standing Calf Raise,Lever Standing Calf Raise
Hack Squat Machine Calf Raise,Hack Calf Raise
Barbell Seated Calf Raise,Barbell Seated Calf Raise
Single-Leg Bodyweight Calf Raise,One Leg Floor Calf Raise
Standing Smith Machine Calf Raise,Smith Standing Leg Calf Raise
Seated Smith Machine Calf Raise,Smith Seated Calf Raise
Seated Banded Calf Raise,Resistance Band Calf Raise
Standing Banded Calf Raise,Band Two Legs Calf Raise - (Band under both legs) VERSION 2
Cable Standing Calf Raise,Cable Standing Calf Raise
Elliptical Stride,Walking on Elliptical Machine (VERSION 7) (female)
Indoor Cycling,Bicycle Recline Walk
Treadmill Walk/Run,Walking on Treadmill
21s Curl,EZ-bar 21s
Band Biceps Curl,Band Biceps Curl
Barbell Curl,Barbell Curl
Barbell Reverse Curl,Barbell Reverse Curl
Barbell Wrist Curl,Barbell Wrist Curl (VERSION 2)
Reverse Wrist Curl,Barbell Revers Wrist Curl (VERSION 2)
Single-Arm Plate Wrist Curl,Weighted Seated One Arm Wrist Curl
Cable Concentration Curl,Cable Concentration Curl
Cable Curl With Bar,Cable Close Grip Curl
Cable Hammer Curl,Cable Hammer Curl (with rope) male
Cheat Curl,Cheat Curl
Concentration Curl,Dumbbell Concentration Curl
Drag Curl,Barbell Drag Curl
Dumbbell Curl,Dumbbell Alternate Biceps Curl
Dumbbell Reverse Curl,Dumbbell Standing Reverse Curl
Dumbbell Reverse Wrist Curl,Dumbbell Over Bench Revers Wrist Curl
Dumbbell Wrist Curl,Dumbbell Over Bench Wrist Curl
EZ-Bar Curl,EZ Barbell Curl
EZ-Bar Reverse Curl,EZ Barbell Reverse Grip Curl
Hammer Curl,Dumbbell Hammer Curl
Lying Cable Curl,Cable Lying Bicep Curl
Incline Cable Curl,Cable Incline Biceps Curl
Incline Dumbbell Curl,Dumbbell Incline Biceps Curl
Incline Hammer Curl,Dumbbell Incline Hammer Curl
Machine Preacher Curl,Lever Preacher Curl
Overhead Cable Curl,Cable Overhead Curl
Ez-Bar Preacher Curl,EZ Barbell Preacher Curl
Seated Dumbbell Curl,Dumbbell Seated Curl
Single-Arm Cable Bicep Curl,Cable One Arm Curl
Single-Arm Dumbbell Preacher Curl,Dumbbell Preacher Curl
Spider Curl,EZ Barbell Spider Curl
Strict Curl,Barbell Srtict Curl
Zottman Curl,Dumbbell Zottman Curl
Nordic Curl,Nordic Hamstring Curl (male)
