Rank,Sets,Reps,Percent,Workouts
1,3,10,17%,45
2,3,15,16%,42
3,3,12,14%,37
4,3,20,13%,34
5,2,1,5%,13
6,3,1,4%,11
6,3,8,4%,11
6,3,30,4%,11
9,4,20,3%,9
10,2,10,2%,6
