Age,Beg.,Nov.,Int.,Adv.,Elite
15,33,64,107,162,225
20,37,73,123,185,257
25,38,75,126,190,264
30,38,75,126,190,264
35,38,75,126,190,264
40,38,75,126,190,264
45,36,71,119,181,251
50,34,67,112,169,235
55,32,62,104,157,217
60,29,56,95,143,199
65,26,51,85,129,179
70,23,46,77,116,161
75,21,41,69,104,144
80,19,36,61,93,129
85,17,33,55,83,115
90,15,29,50,75,104
