Exercise Name,Image URL
Low to High Cable Chest Fly,https://gymvisual.com/animated-gifs/1672-cable-low-fly.html?search_query=cable+chest+fly&results=78
Cable Reverse Fly,https://gymvisual.com/animated-gifs/20003-cable-45-degrees-reverse-fly-male.html?search_query=cable+reverse+fly&results=22
Dumbbell Chest Fly,https://gymvisual.com/animated-gifs/1801-dumbbell-fly.html?search_query=dumbbell+chest+fly&results=100
Incline Dumbbell Chest Fly,https://gymvisual.com/animated-gifs/1820-dumbbell-incline-fly.html?search_query=incline+dumbbell+fly&results=36
Decline Dumbbell Chest Fly,https://gymvisual.com/animated-gifs/1795-dumbbell-decline-fly.html?search_query=decline+dumbbell+fly&results=13
Reverse Dumbbell Fly,https://gymvisual.com/animated-gifs/1884-dumbbell-reverse-fly.html?search_query=reverse+dumbbell+fly&results=19
Machine Chest Fly,https://gymvisual.com/animated-gifs/2093-lever-seated-fly.html?search_query=machine+chest+fly&results=21
Machine Reverse Fly,https://gymvisual.com/animated-gifs/2099-lever-seated-reverse-fly.html?search_query=machine+reverse+fly&results=10
Pec Deck Fly,https://gymvisual.com/animated-gifs/2499-lever-pec-deck-fly.html?search_query=pec+deck&results=6
Banded Chest Fly,https://gymvisual.com/animated-gifs/12042-band-chest-fly-male.html#/47-style_type-basic_grey
Hip Thrust,https://gymvisual.com/animated-gifs/4701-hip-thrusts.html#/47-style_type-basic_grey
Single-Leg Hip Thrust,https://gymvisual.com/animated-gifs/4700-single-leg-hip-thrusts.html#/47-style_type-basic_grey
Barbell Hip Thrust,https://gymvisual.com/animated-gifs/2520-barbell-hip-thrust.html?search_query=barbell+hip+thrust&results=18
Barbell Hip Thrust Hold,
Banded Hip Thrust,https://gymvisual.com/animated-gifs/10117-resistance-band-hip-thrusts.html#/47-style_type-basic_grey
Glute Bridge,https://gymvisual.com/animated-gifs/5512-glute-bridge-two-legs-on-floor.html#/47-style_type-basic_grey
Single-Leg Glute Bridge,https://gymvisual.com/animated-gifs/15267-single-straight-leg-glute-bridge-hold-left-female.html#/47-style_type-basic_grey
Barbell Glute Bridge,https://gymvisual.com/animated-gifs/6489-barbell-glute-bridge-hands-on-bar.html?search_query=barbell+glute+bridge&results=13
Glute-Ham Raise,https://gymvisual.com/animated-gifs/10998-glute-ham-raise-version-2.html?search_query=glute+ham+raise&results=25
Hamstring Bridge,
Pull-Up,https://gymvisual.com/animated-gifs/2145-pull-up.html#/47-style_type-basic_grey
Towel Pull-Up,
Weighted Pull-Up,https://gymvisual.com/animated-gifs/2322-weighted-pull-up.html#/47-style_type-basic_grey
Assisted Pull-Up,https://gymvisual.com/animated-gifs/1508-assisted-pull-up.html#/47-style_type-basic_grey
Neutral-Grip Pull-Up,https://gymvisual.com/animated-gifs/13420-shoulder-width-neutral-grip-pull-up.html#/47-style_type-basic_grey
Assisted Neutral-Grip Pull-Up,https://gymvisual.com/animated-gifs/1502-assisted-parallel-close-grip-pull-up.html#/47-style_type-basic_grey
Weighted Neutral-Grip Pull-Up,https://gymvisual.com/animated-gifs/8221-weighted-hammer-grip-pull-up-on-dip-cage.html#/47-style_type-basic_grey
Chin-Up,https://gymvisual.com/animated-gifs/3098-chin-up.html#/47-style_type-basic_grey
Assisted Chin-Up,https://gymvisual.com/animated-gifs/2669-assisted-close-grip-underhand-chin-up.html#/47-style_type-basic_grey
Weighted Chin-Up,https://gymvisual.com/animated-gifs/10153-weighted-chin-up-male.html#/47-style_type-basic_grey
Muscle-Up,https://gymvisual.com/animated-gifs/3171-muscle-up-on-vertical-bar.html#/47-style_type-basic_grey
