Rank,Sets,Reps,Percent,Workouts
1,3,8,14%,64
2,3,10,12%,56
3,3,5,7%,35
4,4,10,5%,22
5,4,1,4%,20
6,3,12,4%,19
6,3,7,4%,19
8,3,6,4%,17
9,3,15,3%,16
10,4,12,3%,15
