Rank,Sets,Reps,Percent,Workouts
0.45,0.91,4.54,15%,18.6
0.91,1.36,4.54,10%,12.7
0.91,1.81,4.54,10%,12.7
1.81,1.36,9.07,10%,12.25
2.27,1.81,5.44,7%,9.07
2.72,1.36,5.44,6%,7.71
3.18,0.91,5.44,5%,6.8
3.63,0.91,22.68,4%,4.54
4.08,0.91,11.34,3%,4.08
4.54,1.36,6.8,3%,3.63
4.54,1.36,7.26,3%,3.63
4.54,1.36,13.61,3%,3.63
