Rank,Sets,Reps,Percent,Workouts
1,3,10,12%,101
2,3,8,10%,87
3,3,5,8%,65
4,2,10,6%,51
5,3,6,6%,49
6,3,4,4%,37
7,3,12,4%,35
8,4,8,4%,34
9,4,10,4%,33
10,2,5,3%,28
