Rank,Sets,Reps,Percent,Workouts
1,3,10,22%,102
2,3,15,12%,53
3,3,12,10%,47
4,2,10,8%,37
5,2,12,5%,23
5,4,10,5%,23
7,3,8,5%,21
8,5,10,3%,15
9,4,15,3%,13
10,3,20,2%,11
10,2,15,2%,11
10,4,12,2%,11
