category,Beg.,Nov.,Int.,Adv.,Elite
male_bw,1.0606933905912481,1.0651256399868398,1.0677419796478158,1.0705822072154132,1.072402333442074
female_bw,1.0125332276056165,1.0516644416943532,1.073958434915009,1.088206859947127,1.0997490133349521
male_age,1.0780304174810467,1.0737679592743652,1.07387427489312,1.0715816991534748,1.0720159727096843
female_age,1.0192069139811284,1.0659797614904196,1.0860178577434267,1.0985207755285908,1.1085902091553284
