BW,Beg.,Nov.,Int.,Adv.,Elite
90,47,96,168,259,364
100,51,103,177,270,378
110,56,110,185,281,390
120,60,116,193,290,401
130,65,122,201,300,412
140,69,127,208,308,422
150,72,132,214,316,432
160,76,137,221,324,440
170,80,142,227,331,449
180,83,147,232,338,457
190,86,151,238,344,465
200,89,155,243,351,472
210,93,159,248,357,479
220,95,163,253,363,486
230,98,167,258,368,492
240,101,170,262,374,498
250,104,174,267,379,504
260,107,177,271,384,510
