Rank,Sets,Reps,Percent,Workouts
1,2,10,15%,41
2,3,10,10%,28
2,4,10,10%,28
4,3,20,10%,27
5,4,12,7%,20
6,3,12,6%,17
7,2,12,5%,15
8,2,50,4%,10
9,2,25,3%,9
10,3,15,3%,8
10,3,16,3%,8
10,3,30,3%,8
