Age,Beg.,Nov.,Int.,Adv.,Elite
15,44,102,188,301,432
20,50,117,215,344,495
25,52,120,221,353,508
30,52,120,221,353,508
35,52,120,221,353,508
40,52,120,221,353,508
45,49,113,209,335,482
50,46,106,197,314,452
55,43,98,182,291,418
60,39,90,166,265,382
65,35,81,150,240,345
70,31,73,135,215,309
75,28,65,120,192,277
80,25,58,108,172,247
85,23,52,96,154,222
90,20,47,87,139,200
