BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,< 1,< 1,9,31,57
45.36,< 1,< 1,11,33,58
49.9,< 1,< 1,13,34,59
54.43,< 1,< 1,15,35,58
58.97,< 1,< 1,16,36,58
63.5,< 1,2,17,36,58
68.04,< 1,3,17,36,57
72.57,< 1,4,18,36,56
77.11,< 1,5,18,36,55
81.65,< 1,5,18,36,54
86.18,< 1,6,19,35,54
90.72,< 1,6,19,35,53
95.25,< 1,6,19,34,52
99.79,< 1,6,19,34,51
104.33,< 1,7,18,34,50
108.86,< 1,7,18,33,49
113.4,< 1,7,18,33,48
117.93,< 1,7,18,32,47
