BW (kg),Beg.,Nov.,Int.,Adv.,Elite
40.82,<1,<1,6,14,25
45.36,<1,<1,6,14,24
49.9,<1,<1,6,14,24
54.43,<1,<1,7,14,23
58.97,<1,<1,7,14,22
63.5,<1,<1,6,13,21
68.04,<1,<1,6,13,21
72.57,<1,<1,6,12,20
77.11,<1,<1,6,12,19
81.65,<1,<1,6,11,18
86.18,<1,<1,6,11,17
90.72,<1,<1,5,10,17
95.25,<1,<1,5,10,16
99.79,<1,<1,5,9,15
104.33,<1,<1,4,9,15
108.86,<1,<1,4,9,14
113.4,<1,<1,3,8,13
117.93,<1,<1,3,8,13
