BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,1,6,22,43,65
45.36,1,7,22,41,63
49.9,1,7,22,40,60
54.43,1,8,21,39,58
58.97,1,8,21,38,56
63.5,1,8,20,36,54
68.04,1,8,20,35,52
72.57,1,7,19,34,50
77.11,1,7,19,33,48
81.65,1,7,18,32,46
86.18,1,7,17,30,44
90.72,1,7,17,29,43
95.25,1,6,16,28,41
99.79,1,6,15,27,40
104.33,1,6,15,26,39
108.86,1,6,14,25,37
113.4,1,5,14,25,36
117.93,1,5,13,24,35
