BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,1,4,19,39,61
45.36,1,5,20,38,59
49.9,1,6,20,37,57
54.43,1,6,20,36,55
58.97,1,7,19,35,53
63.5,1,7,19,34,51
68.04,1,7,18,33,49
72.57,1,7,18,32,47
77.11,1,7,17,31,46
81.65,1,6,17,30,44
86.18,1,6,16,29,43
90.72,1,6,16,28,41
95.25,1,6,15,27,40
99.79,1,6,15,26,38
104.33,1,5,14,25,37
108.86,1,5,14,24,36
113.4,1,5,13,24,35
117.93,1,5,12,23,34
